phoneme,start,end
a,0.8,0.86
a,0.92,0.99
ə,1.05,1.09
ɛ,1.14,1.22
oː,1.31,1.4
ɛ,1.5,1.58
ə,1.64,1.69
ɛ,2.42,2.57
a,2.64,2.71
ɛ,2.81,2.88
ɛ,2.95,3.01
ɪ,3.08,3.12
eː,3.24,3.31
ɛ,3.43,3.54
ə,3.63,3.68
ɪ,3.74,3.79
ə,3.83,3.88
aʊ,3.94,4.02
ʊ,4.09,4.15
ɛ,4.23,4.29
ə,4.34,4.38
y,4.42,4.48
ʊ,4.59,4.63
oː,4.76,4.83
ʊ,4.89,4.93
y,5.07,5.12
a,5.18,5.25
iː,5.35,5.43
iː,5.52,5.58
iː,5.66,5.72
ə,5.72,5.75
aɪ,5.89,5.96
ə,6.01,6.06
aɪ,6.14,6.27
a,7.23,7.28
oː,7.34,7.4
ə,7.45,7.5
ɛ,7.59,7.66
ɛ,7.74,7.82
ə,7.89,7.94
ɪ,7.99,8.06
ə,8.11,8.15
a,8.24,8.32
a,8.46,8.54
aː,8.66,8.74
ɪ,8.88,8.94
ə,9.0,9.12
ɔ,10.16,10.23
eː,10.44,10.51
ɛ,10.67,10.73
ə,10.8,10.84
ɛ,10.95,11.01
ə,11.08,11.13
a,11.26,11.33
a,11.47,11.54
oː,11.64,11.75
oː,11.83,11.9
ʊ,11.95,11.99
ʊ,12.03,12.09
iː,12.21,12.27
ɪ,12.36,12.5
y,13.16,13.22
a,13.34,13.39
uː,13.45,13.49
ə,13.54,13.6
ʊ,13.67,13.73
aː,13.8,13.88
ʊ,13.96,14.01
a,14.13,14.2
aɪ,16.08,16.2
ɛ,16.31,16.37
ə,16.44,16.48
iː,16.62,16.69
ɔ,16.83,16.89
iː,16.96,17.02
a,17.11,17.3
iː,17.44,17.51
oː,17.61,17.71
iː,17.86,17.94
ɛ,18.04,18.15
ə,18.3,18.36
y,18.42,18.48
ɛ,18.55,18.63
ə,18.69,18.74
øː,18.86,18.93
a,19.04,19.11
uː,19.18,19.25
ɪ,19.25,19.35
a,19.59,19.64
ɔ,19.73,19.83
a,19.95,20.05
ɛ,21.12,21.28
ʊ,21.36,21.41
a,21.5,21.56
ɔ,21.62,21.68
ɛ,21.76,21.84
aɪ,22.06,22.15
ʊ,22.26,22.33
ʊ,22.39,22.43
ɛ,22.48,22.52
ɔ,22.7,22.74
ɪ,22.83,22.89
ʊ,22.95,23.01
a,23.08,23.16
ʊ,24.34,24.39
oː,24.44,24.5
ʊ,24.55,24.59
ɛ,24.64,24.69
ɔ,24.87,24.94
ə,24.99,25.03
ɔ,25.11,25.16
ə,25.21,25.26
a,25.32,25.37
iː,25.52,25.59
eː,25.67,25.82
ɛ,25.82,25.95
a,26.02,26.08
oː,26.18,26.28
aɪ,26.38,26.45
ɪ,26.51,26.55
iː,26.66,26.75
ɪ,26.84,26.9
ə,26.95,27.0
a,27.15,27.25
ə,27.42,27.5
ʊ,27.57,27.66
a,27.78,27.88
ə,28.69,28.73
ɑː,28.79,28.89
ɪ,28.99,29.06
a,29.23,29.31
ə,29.45,29.49
aʊ,29.56,29.65
ə,29.74,29.79
ɔ,29.84,29.88
a,29.96,30.03
a,30.18,30.28
aɪ,30.44,30.51
ə,30.57,30.61
oː,30.67,30.74
ə,30.79,30.83
ɪ,30.88,30.94
a,31.78,31.86
aʊ,32.02,32.14
ɛ,32.36,32.5
a,32.58,32.66
ə,32.81,32.86
oː,32.86,32.96
ɛ,33.08,33.15
ə,33.26,33.31
ɑː,34.6,34.69
a,34.78,34.87
aɪ,34.96,35.03
ə,35.09,35.13
yː,35.24,35.3
uː,35.36,35.44
ə,35.51,35.55
iː,35.61,35.69
a,35.69,35.79
ə,35.85,35.92
a,36.02,36.08
a,36.22,36.28
ɛ,36.44,36.57
iː,36.75,36.79
a,36.85,36.95
ə,37.03,37.07
ə,37.25,37.36
ɪ,37.38,37.51
ə,37.61,37.67
a,37.67,37.74
ə,37.88,37.92
a,37.96,38.01
ə,38.12,38.2
ɪ,38.27,38.32
ə,38.37,38.4
a,38.51,38.57
ə,38.7,38.76
ɛ,38.81,38.85
ɛ,38.89,38.93
ɛ,40.02,40.16
a,40.22,40.29
y,40.35,40.4
ɛ,40.48,40.57
ə,40.64,40.7
a,40.75,40.82
iː,40.9,40.96
a,41.02,41.08
ə,41.17,41.24
aʊ,41.24,41.36
a,41.53,41.57
oː,41.64,41.75
ə,41.83,41.88
a,41.95,42.02
ʊ,42.08,42.13
iː,42.29,42.35
eː,42.43,42.5
oː,42.58,42.64
ʊ,42.72,42.79
a,42.87,42.93
ə,42.99,43.04
a,43.18,43.25
ə,43.32,43.38
a,43.44,43.51
aʊ,44.16,44.29
ɪ,44.29,44.41
ə,44.47,44.51
aʊ,44.64,44.71
ʊ,44.78,44.83
aɪ,45.0,45.09
ə,45.18,45.24
ɛ,45.88,45.93
ɛ,46.03,46.1
ɛ,46.16,46.22
ə,46.32,46.4
a,46.54,46.63
ə,46.72,46.77
ə,46.83,46.89
ɛ,46.96,47.03
ə,47.1,47.15
ɛ,47.22,47.27
ə,47.34,47.39
ɔ,47.39,47.46
ʊ,47.58,47.63
a,47.82,47.87
ə,47.95,47.99
ə,48.06,48.14
ɔ,48.14,48.24
ɪ,48.37,48.42
eː,48.5,48.59
ə,48.65,48.7
ɪ,48.76,48.81
a,48.92,49.0
ɛ,50.46,50.61
ɑː,50.76,50.84
ə,50.91,50.97
a,51.04,51.1
ə,51.22,51.27
ɔ,51.36,51.47
ʊ,51.54,51.59
ə,51.64,51.69
a,51.78,51.85
a,51.97,52.02
ə,52.07,52.12
iː,52.24,52.31
iː,52.4,52.5
ɛ,52.5,52.61
ɛ,52.68,52.72
a,52.87,52.94
ə,53.07,53.12
ɛ,53.16,53.26
ɔ,53.44,53.55
iː,53.66,53.73
ɛ,53.8,53.86
ə,54.01,54.1
y,54.2,54.27
ɪ,54.41,54.48
ɪ,54.59,54.7
oː,54.82,54.9
ɛ,55.03,55.09
ə,55.16,55.21
a,55.25,55.3
ɛ,56.88,57.03
ɛ,57.1,57.17
yː,57.27,57.33
ɛ,57.41,57.47
aɪ,57.58,57.65
ɔ,57.78,57.82
a,57.88,57.96
ə,58.01,58.06
aʊ,58.18,58.26
ʊ,58.34,58.39
a,58.6,58.65
ɑː,58.78,58.86
ʊ,58.94,59.0
a,59.15,59.23
eː,59.42,59.52
iː,59.61,59.67
ɛ,60.65,60.7
ɛ,60.77,60.85
a,60.95,61.03
a,61.1,61.16
ɔ,61.26,61.32
ʊ,61.38,61.42
ʊ,61.65,61.72
ɑː,62.75,62.86
ʊ,62.97,63.03
ʊ,63.14,63.2
a,63.26,63.34
ə,63.43,63.51
ɑː,63.93,63.98
oː,64.04,64.11
ɑː,64.27,64.38
aɪ,64.52,64.6
ə,64.67,64.72
aɪ,64.92,65.0
ə,65.07,65.1
ə,65.19,65.23
ə,65.28,65.32
ɑː,65.41,65.51
ə,65.59,65.63
oː,65.7,65.76
ə,65.81,65.84
a,65.91,66.0
ɜ,66.06,66.12
ɔ,66.29,66.35
ə,66.41,66.47
ɛ,66.55,66.6
a,66.79,66.85
oː,66.91,66.99
ə,67.06,67.09
oː,67.21,67.31
ə,67.4,67.45
ə,69.14,69.27
eː,69.37,69.43
ə,69.49,69.55
a,69.62,69.7
ə,69.85,69.91
aɪ,69.96,70.03
ə,70.09,70.14
ɛ,70.19,70.23
ɛ,70.38,70.45
a,70.57,70.67
ə,70.75,70.8
ɪ,70.85,70.9
ʊ,71.02,71.08
a,71.3,71.37
ə,71.44,71.49
ɛ,71.56,71.64
yː,71.71,71.77
ɑː,71.91,72.03
iː,72.16,72.28
a,72.88,73.01
oː,73.14,73.21
ʊ,73.34,73.41
ʊ,73.45,73.51
iː,73.62,73.69
iː,73.79,73.93
oː,74.05,74.12
ʊ,74.17,74.21
ə,74.27,74.32
aɪ,74.38,74.47
ʊ,74.57,74.63
ʊ,74.67,74.71
aɪ,74.82,74.91
aɪ,75.0,75.07
a,76.18,76.22
a,76.27,76.31
ɛ,76.42,76.5
ə,76.58,76.63
ɛ,76.73,76.79
ɛ,76.91,76.95
a,77.08,77.14
oː,77.2,77.28
aɪ,77.63,77.69
ɛ,77.76,77.84
eː,77.92,77.99
ɪ,78.05,78.09
a,78.17,78.26
ɛ,78.47,78.53
ə,78.59,78.63
ʊ,78.68,78.73
a,78.82,78.92
iː,79.04,79.11
a,79.18,79.24
ə,79.31,79.35
ɛ,79.42,79.52
aʊ,79.69,79.82
iː,79.97,80.03
ɛ,80.08,80.13
ɛ,80.3,80.4
aɪ,80.66,80.76
ɛ,80.92,80.98
ə,81.03,81.07
ʊ,81.13,81.16
ɪ,81.2,81.26
i,81.33,81.4
ɛ,81.46,81.53
ə,81.6,81.65
a,81.69,81.74
ɛ,82.64,82.78
ɛ,82.89,82.96
ʊ,83.09,83.15
uː,83.23,83.3
y,83.35,83.4
ɛ,83.46,83.52
ɛ,83.62,83.67
ʊ,83.83,83.89
a,84.08,84.16
aɪ,84.26,84.38
ʊ,85.26,85.39
a,85.48,85.54
ɔ,85.64,85.68
ə,85.75,85.81
iː,85.93,85.99
iː,86.08,86.17
a,86.24,86.31
oː,86.66,86.82
aʊ,86.98,87.1
y,87.9,87.94
a,88.03,88.08
ɔ,88.26,88.32
a,88.5,88.56
aɪ,88.67,88.79
ə,88.87,88.91
a,89.05,89.11
oː,89.25,89.32
aʊ,89.38,89.46
a,89.6,89.69
a,89.78,89.83
a,90.22,90.31
a,90.45,90.51
a,90.61,90.69
ʊ,90.86,90.91
a,91.19,91.25
iː,91.37,91.43
uː,91.55,91.63
ɔ,91.73,91.82
y,91.96,92.02
ə,92.14,92.2
ɔ,93.97,94.01
ɪ,94.05,94.1
iː,94.17,94.24
ɛ,94.3,94.35
ɪ,94.48,94.53
a,94.59,94.67
a,94.74,94.8
a,94.95,94.99
a,95.1,95.15
i,95.22,95.27
a,95.33,95.42
ə,95.57,95.64
ɪ,95.64,95.72
ʊ,95.8,95.84
aː,95.96,96.04
iː,96.14,96.22
oː,96.28,96.36
iː,96.45,96.53
ɪ,96.59,96.7
iː,97.91,97.97
y,98.04,98.1
ɪ,98.21,98.29
ɛ,98.29,98.38
ɛ,98.5,98.58
œ,98.72,98.8
y,98.89,98.95
y,99.08,99.16
a,99.24,99.34
ə,99.43,99.48
a,99.55,99.62
ə,99.7,99.74
a,99.78,99.83
ɔ,99.96,100.01
iː,100.08,100.17
yː,100.24,100.29
ɑː,100.35,100.46
iː,100.57,100.64
iː,100.91,100.96
aɪ,101.03,101.09
ə,101.21,101.26
y,101.32,101.37
a,101.46,101.53
ə,101.66,101.72
iː,102.63,102.71
ɪ,102.71,102.8
ə,102.9,102.94
a,103.06,103.15
iː,103.25,103.38
a,103.54,103.58
ɔ,103.71,103.77
iː,103.84,103.91
oː,103.99,104.07
ə,104.15,104.18
ʊ,104.23,104.28
ə,104.34,104.39
ɪ,104.5,104.55
ə,104.6,104.64
ə,104.71,104.76
ə,104.83,104.88
iː,104.94,105.04
ə,105.14,105.2
ɑː,105.72,105.86
ə,105.92,105.98
oː,106.05,106.14
ə,106.21,106.24
ɔ,106.28,106.36
ʊ,106.44,106.49
ɑː,106.54,106.6
ɜ,106.65,106.71
ɔ,106.71,106.8
ə,106.86,106.91
a,106.98,107.08
a,107.22,107.28
ɔ,107.33,107.4
ə,107.47,107.52
ɔ,107.58,107.65
oː,107.71,107.77
oː,107.84,107.91
ə,107.97,108.01
ɛ,108.06,108.15
ə,108.23,108.28
ɛ,108.36,108.44
ɪ,108.78,108.92
ə,108.99,109.12
a,109.44,109.5
ɜ,109.55,109.59
ɛ,109.64,109.69
ə,109.79,109.84
ɛ,109.91,109.96
ɪ,110.07,110.13
ɛ,110.19,110.25
yː,110.38,110.46
ɛ,110.54,110.6
ɔ,110.73,110.8
ʊ,110.9,110.95
a,111.01,111.09
ə,111.16,111.2
a,111.91,111.96
ɔ,112.03,112.14
ɑː,112.38,112.45
ə,112.55,112.58
ɔ,112.76,112.82
ɑː,112.88,112.97
ə,113.05,113.09
ɔ,113.14,113.21
ə,113.27,113.31
ɛ,113.38,113.45
ə,113.51,113.58
ɔ,113.58,113.7
ʊ,113.77,113.81
oː,114.01,114.14
ə,115.04,115.17
ɪ,115.3,115.36
iː,115.62,115.69
a,115.77,115.84
ʊ,115.99,116.05
ə,116.14,116.2
ə,116.25,116.29
eː,116.34,116.42
yː,116.51,116.57
ɑː,116.64,116.72
ɪ,116.83,116.9
ə,116.97,117.03
a,117.14,117.22
iː,117.31,117.38
oː,117.44,117.5
iː,117.57,117.65
ɪ,117.71,117.75
a,117.86,117.92
ə,118.01,118.07
ʊ,118.14,118.19
iː,118.23,118.28
iː,118.36,118.5
ə,119.8,119.87
ɑː,119.94,120.03
ɛ,120.22,120.31
iː,120.38,120.44
ə,120.49,120.53
iː,120.62,120.72
oː,120.81,120.91
ə,120.97,121.01
ɪ,121.11,121.17
eː,121.25,121.33
ə,121.39,121.47
eɪ,121.56,121.68
iː,122.38,122.46
oː,122.58,122.67
ə,122.73,122.78
a,122.86,122.91
ɜ,122.95,123.02
ɔ,123.02,123.14
ə,123.21,123.26
ɛ,123.26,123.34
ɪ,123.44,123.53
