filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,a,0.8,0.86,60.0,,,
Aardema_maiden_t.wav,a,0.92,0.99,70.0,,,
Aardema_maiden_t.wav,ə,1.05,1.09,40.0,,,
Aardema_maiden_t.wav,ɛ,1.14,1.22,80.0,,,8.647
Aardema_maiden_t.wav,oː,1.31,1.4,90.0,,,5.945
Aardema_maiden_t.wav,ɛ,1.5,1.58,80.0,,,1.579
Aardema_maiden_t.wav,ə,1.64,1.69,50.0,,,
Aardema_maiden_t.wav,ɛ,2.42,2.57,150.0,,,4.061
Aardema_maiden_t.wav,a,2.64,2.71,70.0,,,
Aardema_maiden_t.wav,ɛ,2.81,2.88,70.0,,,
Aardema_maiden_t.wav,ɛ,2.95,3.01,60.0,,,
Aardema_maiden_t.wav,ɪ,3.08,3.12,40.0,,,
Aardema_maiden_t.wav,eː,3.24,3.31,70.0,,,
Aardema_maiden_t.wav,ɛ,3.43,3.54,110.0,,,3.747
Aardema_maiden_t.wav,ə,3.63,3.68,50.0,,,
Aardema_maiden_t.wav,ɪ,3.74,3.79,50.0,,,
Aardema_maiden_t.wav,ə,3.83,3.88,50.0,,,
Aardema_maiden_t.wav,aʊ,3.94,4.02,80.0,,,11.769
Aardema_maiden_t.wav,ʊ,4.09,4.15,60.0,,,
Aardema_maiden_t.wav,ɛ,4.23,4.29,60.0,,,
Aardema_maiden_t.wav,ə,4.34,4.38,40.0,,,
Aardema_maiden_t.wav,y,4.42,4.48,60.0,,,
Aardema_maiden_t.wav,ʊ,4.59,4.63,40.0,,,
Aardema_maiden_t.wav,oː,4.76,4.83,70.0,,,
Aardema_maiden_t.wav,ʊ,4.89,4.93,40.0,,,
Aardema_maiden_t.wav,y,5.07,5.12,50.0,,,
Aardema_maiden_t.wav,a,5.18,5.25,70.0,,,
Aardema_maiden_t.wav,iː,5.35,5.43,80.0,,,2.512
Aardema_maiden_t.wav,iː,5.52,5.58,60.0,,,
Aardema_maiden_t.wav,iː,5.66,5.72,60.0,,,
Aardema_maiden_t.wav,ə,5.72,5.75,30.0,,,
Aardema_maiden_t.wav,aɪ,5.89,5.96,70.0,,,
Aardema_maiden_t.wav,ə,6.01,6.06,50.0,,,
Aardema_maiden_t.wav,aɪ,6.14,6.27,130.0,,,-0.227
Aardema_maiden_t.wav,a,7.23,7.28,50.0,,,
Aardema_maiden_t.wav,oː,7.34,7.4,60.0,,,
